question,answer,hint1,hint2,distractor1,distractor2,distractor3,category,style,difficulty,emoji
"In the animals category, this item is very famous. It starts with 'C'.",crow,It belongs to the animals group.,It starts with 'C'.,butterfly,snail,flamingo,animals,trivia,easy,🐾
"Half of 8 is 4, which is how many letters this words has.",left,It belongs to the words group.,It starts with 'L'.,front,down,cold,words,math,easy,🔠
I sound a little bit like the silly word 'unowboarding'. I am a sports.,snowboarding,It belongs to the sports group.,It ends with 'G'.,hulahoop,karate,tennis,sports,rhyming,tricky,⚽
"In the holidays category, this item is very famous. It starts with 'M'.",maraca,It belongs to the holidays group.,It ends with 'A'.,dj,anthem,banjo,holidays,trivia,tricky,🎉
"I am a holidays with exactly 6 letters. My last letter is very important, it is 'A'.",kinara,It belongs to the holidays group.,It has 6 letters.,yam,fair,ghost,holidays,lateral,medium,🎉
Mix my letters and you get 'erwrad'. I am a silly.,drawer,It belongs to the silly group.,It starts with 'D'.,hat,bowl,tie,silly,wordplay,easy,🤪
Take away my first letter and you get something else. Put it back and I am this food.,spaghetti,It belongs to the food group.,It ends with 'I'.,carrot,brownie,bagel,food,wordplay,tricky,🍎
This words is known for having 4 letters in its name.,easy,It belongs to the words group.,It has 4 letters.,under,full,bad,words,trivia,medium,🔠
This science is known for having 7 letters in its name.,gravity,It belongs to the science group.,It has 7 letters.,screwdriver,knee,plastic,science,trivia,medium,🔬
People often forget I have 9 letters. I am a animals.,crocodile,It belongs to the animals group.,It has 9 letters.,crab,giraffe,swan,animals,lateral,medium,🐾
A fun fact about this animals is that its name starts with 'W' and ends with 'S'.,walrus,It belongs to the animals group.,It has 6 letters.,caterpillar,snake,hamster,animals,trivia,medium,🐾
Subtract 2 from 6 and you get the letter count of this science.,head,It belongs to the science group.,It ends with 'D'.,pliers,energy,scale,science,math,tricky,🔬
People often forget I have 6 letters. I am a silly.,shower,It belongs to the silly group.,It starts with 'S'.,ironingboard,coat,glasses,silly,lateral,easy,🤪
Think of a common animals. It ends with 'N'. What is it?,chicken,It belongs to the animals group.,It starts with 'C'.,camel,horse,ant,animals,what-am-i,easy,🐾
"I am a space with exactly 7 letters. My last letter is very important, it is 'O'.",scorpio,It belongs to the space group.,It starts with 'S'.,jetpack,neptune,wormhole,space,lateral,easy,🚀
A fun fact about this silly is that its name starts with 'C' and ends with 'N'.,curtain,It belongs to the silly group.,It starts with 'C'.,vacuum,plug,bowl,silly,trivia,easy,🤪
I sound a little bit like the silly word 'noud'. I am a words.,loud,It belongs to the words group.,It starts with 'L'.,in,wet,happy,words,rhyming,easy,🔠
"If you spell my name backwards, it looks like 'ecuttel'.",lettuce,It belongs to the food group.,It has 7 letters.,burrito,orange,donut,food,wordplay,medium,🍎
Count the letters in this holidays's name and you get 7. Double that is 14.,concert,It belongs to the holidays group.,It ends with 'T'.,fireworks,cymbal,ticket,holidays,math,tricky,🎉
"If you try to rhyme with me, you might say 'uheet'. What silly am I?",sheet,It belongs to the silly group.,It ends with 'T'.,hat,oven,earring,silly,rhyming,tricky,🤪
People often forget I have 12 letters. I am a space.,garbagetruck,It belongs to the space group.,It has 12 letters.,venus,canoe,spaceship,space,lateral,medium,🚀
"Half of 6 is 3, which is how many letters this space has.",leo,It belongs to the space group.,It ends with 'O'.,libra,yacht,ferry,space,math,tricky,🚀
Take away my first letter and you get something else. Put it back and I am this school.,homework,It belongs to the school group.,It starts with 'H'.,score,scissors,mat,school,wordplay,easy,✏️
You cannot spell this space without the letter 'P'.,policecar,It belongs to the space group.,It starts with 'P'.,sled,wagon,boat,space,lateral,easy,🚀
"If you try to rhyme with me, you might say 'rlayground'. What school am I?",playground,It belongs to the school group.,It has 10 letters.,driver,fieldtrip,chair,school,rhyming,medium,✏️
A fun fact about this food is that its name starts with 'C' and ends with 'R'.,cucumber,It belongs to the food group.,It starts with 'C'.,popcorn,cracker,cauliflower,food,trivia,easy,🍎
"If you spell my name backwards, it looks like 'revo'.",over,It belongs to the words group.,It ends with 'R'.,back,angry,dark,words,wordplay,tricky,🔠
Think of a common food. It ends with 'O'. What is it?,taco,It belongs to the food group.,It has 4 letters.,peach,papaya,artichoke,food,what-am-i,medium,🍎
My name rhymes with 'vhunder'. I am part of the nature family.,thunder,It belongs to the nature group.,It has 7 letters.,ice,valley,pebble,nature,rhyming,medium,🌿
You might see this science around. It has 5 letters in its name. What could it be?,brain,It belongs to the science group.,It ends with 'N'.,saw,clamp,chest,science,what-am-i,tricky,🔬
Count the letters in this words's name and you get 4. Double that is 8.,down,It belongs to the words group.,It starts with 'D'.,far,easy,rich,words,math,easy,🔠
This is a well-known nature. My first letter is 'C'.,creek,It belongs to the nature group.,It has 5 letters.,shadow,seed,dark,nature,what-am-i,medium,🌿
"If you spell my name backwards, it looks like 'gniffuts'.",stuffing,It belongs to the holidays group.,It starts with 'S'.,bassoon,ticket,maraca,holidays,wordplay,easy,🎉
Take 6 and subtract 5. What do you get?,1,It is a number.,It is between 0 and 2.,11,63,8,math,wordplay,medium,🧮
This is a well-known holidays. My first letter is 'G'.,guitar,It belongs to the holidays group.,It has 6 letters.,horn,basket,reindeer,holidays,what-am-i,medium,🎉
Subtract 2 from 10 and you get the letter count of this words.,handsome,It belongs to the words group.,It starts with 'H'.,heavy,rough,empty,words,math,easy,🔠
Count the letters in this space's name and you get 10. Double that is 20.,teleporter,It belongs to the space group.,It ends with 'R'.,meteorite,zodiac,portal,space,math,tricky,🚀
"If you spell my name backwards, it looks like 'flog'.",golf,It belongs to the sports group.,It starts with 'G'.,marathon,lacrosse,poker,sports,wordplay,easy,⚽
This nature is known for having 6 letters in its name.,stream,It belongs to the nature group.,It ends with 'M'.,jungle,reef,forest,nature,trivia,tricky,🌿
Take away my first letter and you get something else. Put it back and I am this science.,energy,It belongs to the science group.,It has 6 letters.,tooth,neck,fabric,science,wordplay,medium,🔬
"In the silly category, this item is very famous. It starts with 'B'.",bed,It belongs to the silly group.,It ends with 'D'.,lamp,toothbrush,hat,silly,trivia,tricky,🤪
My name rhymes with 'crt'. I am p___ of the school family.,art,It belongs to the school group.,It starts with 'A'.,tape,prize,laptop,school,rhyming,easy,✏️
Subtract 2 from 12 and you get the letter count of this silly.,sunglasses,It belongs to the silly group.,It ends with 'S'.,tv,sheet,washer,silly,math,tricky,🤪
"In the words category, this item is very famous. It starts with 'F'.",full,It belongs to the words group.,It starts with 'F'.,side,calm,poor,words,trivia,easy,🔠
Mix my letters and you get 'hrpa'. I am a holidays.,harp,It belongs to the holidays group.,It starts with 'H'.,cranberry,saxophone,wrapping,holidays,wordplay,easy,🎉
"Half of 10 is 5, which is how many letters this animals has.",panda,It belongs to the animals group.,It has 5 letters.,turtle,frog,rabbit,animals,math,medium,🐾
This food is known for having 5 letters in its name.,mango,It belongs to the food group.,It ends with 'O'.,spinach,turnip,squash,food,trivia,tricky,🍎
Think of a common sports. It ends with 'G'. What is it?,boomerang,It belongs to the sports group.,It starts with 'B'.,marathon,monopoly,jack,sports,what-am-i,easy,⚽
"If you count up to 92, you will say my name just before 91.",90,It is a number.,It is between 89 and 91.,55,10,22,math,what-am-i,tricky,🧮
"I am a holidays with exactly 5 letters. My last letter is very important, it is 'E'.",chime,It belongs to the holidays group.,It starts with 'C'.,trombone,candle,song,holidays,lateral,easy,🎉
People often forget I have 4 letters. I am a food.,stew,It belongs to the food group.,It ends with 'W'.,watermelon,muffin,carrot,food,lateral,tricky,🍎
Think of a common nature. It ends with 'L'. What is it?,hail,It belongs to the nature group.,It starts with 'H'.,meteor,hill,mist,nature,what-am-i,easy,🌿
Subtract 2 from 7 and you get the letter count of this animals.,goose,It belongs to the animals group.,It ends with 'E'.,dragonfly,chicken,alligator,animals,math,tricky,🐾
Add 52 and 0 together. What is the total?,52,It is a number.,It is between 51 and 53.,53,68,10,math,wordplay,medium,🧮
Think of a common school. It ends with 'S'. What is it?,headphones,It belongs to the school group.,It starts with 'H'.,slide,exam,backpack,school,what-am-i,easy,✏️
A fun fact about this silly is that its name starts with 'N' and ends with 'E'.,necklace,It belongs to the silly group.,It starts with 'N'.,blouse,bulb,blind,silly,trivia,easy,🤪
I sound a little bit like the silly word 'gclipse'. I am a nature.,eclipse,It belongs to the nature group.,It ends with 'E'.,tundra,twilight,jungle,nature,rhyming,tricky,🌿
"In the holidays category, this item is very famous. It starts with 'W'.",wrapping,It belongs to the holidays group.,It has 8 letters.,bow,kazoo,chime,holidays,trivia,medium,🎉
"If you try to rhyme with me, you might say 'rrincipal'. What school am I?",principal,It belongs to the school group.,It starts with 'P'.,spelling,art,binder,school,rhyming,easy,✏️
People often forget I have 8 letters. I am a school.,spelling,It belongs to the school group.,It starts with 'S'.,bus,glue,mat,school,lateral,easy,✏️
Think of a common school. It ends with 'A'. What is it?,encyclopedia,It belongs to the school group.,It starts with 'E'.,uniform,book,globe,school,what-am-i,easy,✏️
You might see this school around. It has 5 letters in its name. What could it be?,chalk,It belongs to the school group.,It starts with 'C'.,student,score,music,school,what-am-i,easy,✏️
"Half of 8 is 4, which is how many letters this food has.",corn,It belongs to the food group.,It ends with 'N'.,sweetpotato,broccoli,date,food,math,tricky,🍎
"I am a school with exactly 6 letters. My last letter is very important, it is 'N'.",screen,It belongs to the school group.,It has 6 letters.,assignment,map,counselor,school,lateral,medium,✏️
"If you spell my name backwards, it looks like 'lwob'.",bowl,It belongs to the silly group.,It starts with 'B'.,microwave,watch,blender,silly,wordplay,easy,🤪
Take away my first letter and you get something else. Put it back and I am this food.,eggplant,It belongs to the food group.,It has 8 letters.,fig,watermelon,lettuce,food,wordplay,medium,🍎
"In the sports category, this item is very famous. It starts with 'H'.",hurdle,It belongs to the sports group.,It ends with 'E'.,bowling,backgammon,helicopter,sports,trivia,tricky,⚽
"If you spell my name backwards, it looks like 'naws'.",swan,It belongs to the animals group.,It starts with 'S'.,tortoise,catfish,hamster,animals,wordplay,easy,🐾
You might see this space around. It has 9 letters in its name. What could it be?,supernova,It belongs to the space group.,It starts with 'S'.,aquarius,snowplow,probe,space,what-am-i,easy,🚀
Subtract 2 from 8 and you get the letter count of this words.,simple,It belongs to the words group.,It starts with 'S'.,middle,left,early,words,math,easy,🔠
Subtract 2 from 9 and you get the letter count of this animals.,dolphin,It belongs to the animals group.,It starts with 'D'.,turkey,monkey,stingray,animals,math,easy,🐾
"Half of 8 is 4, which is how many letters this words has.",ugly,It belongs to the words group.,It starts with 'U'.,in,easy,warm,words,math,easy,🔠
"If you try to rhyme with me, you might say 'fress'. What silly am I?",dress,It belongs to the silly group.,It has 5 letters.,pants,sandal,glasses,silly,rhyming,medium,🤪
You cannot spell this space without the letter 'A'.,ambulance,It belongs to the space group.,It starts with 'A'.,crater,cart,vacuum,space,lateral,easy,🚀
Mix my letters and you get 'sdilo'. I am a science.,solid,It belongs to the science group.,It starts with 'S'.,glass,robot,pliers,science,wordplay,easy,🔬
I sound a little bit like the silly word 'tough'. I am a words.,rough,It belongs to the words group.,It has 5 letters.,early,empty,young,words,rhyming,medium,🔠
You might see this science around. It has 4 letters in its name. What could it be?,bolt,It belongs to the science group.,It ends with 'T'.,atom,tube,eye,science,what-am-i,tricky,🔬
This sports is known for having 6 letters in its name.,hockey,It belongs to the sports group.,It ends with 'Y'.,handball,train,hideandseek,sports,trivia,tricky,⚽
"I am a animals with exactly 3 letters. My last letter is very important, it is 'T'.",cat,It belongs to the animals group.,It ends with 'T'.,panda,turkey,alligator,animals,lateral,tricky,🐾
"If you have 78 apples and get 1 more, how many do you have?",79,It is a number.,It is between 78 and 80.,89,10,77,math,lateral,medium,🧮
People often forget I have 5 letters. I am a school.,snack,It belongs to the school group.,It has 5 letters.,thermos,chalkboard,bell,school,lateral,medium,✏️
You cannot spell this food without the letter 'G'.,grape,It belongs to the food group.,It has 5 letters.,eggplant,pecan,zucchini,food,lateral,medium,🍎
"In the holidays category, this item is very famous. It starts with 'T'.",ticket,It belongs to the holidays group.,It has 6 letters.,banner,present,skeleton,holidays,trivia,medium,🎉
"If you spell my name backwards, it looks like 'tfos'.",soft,It belongs to the words group.,It starts with 'S'.,complex,small,corner,words,wordplay,easy,🔠
Mix my letters and you get 'nnaber'. I am a holidays.,banner,It belongs to the holidays group.,It has 6 letters.,zombie,treat,xylophone,holidays,wordplay,medium,🎉
Think of a common school. It ends with 'N'. What is it?,librarian,It belongs to the school group.,It ends with 'N'.,scissors,star,desk,school,what-am-i,tricky,✏️
"I am a silly with exactly 5 letters. My last letter is very important, it is 'S'.",pants,It belongs to the silly group.,It has 5 letters.,sink,necklace,dryer,silly,lateral,medium,🤪
Add 12 and 0 together. What is the total?,12,It is a number.,It is between 11 and 13.,59,45,77,math,lateral,tricky,🧮
I sound a little bit like the silly word 'ruddle'. I am a nature.,puddle,It belongs to the nature group.,It starts with 'P'.,moon,petal,storm,nature,rhyming,easy,🌿
This is a well-known nature. My first letter is 'B'.,branch,It belongs to the nature group.,It starts with 'B'.,peninsula,prairie,wind,nature,what-am-i,easy,🌿
Think of a common food. It ends with 'H'. What is it?,peach,It belongs to the food group.,It starts with 'P'.,plum,pear,fig,food,what-am-i,easy,🍎
Count the letters in this holidays's name and you get 5. Double that is 10.,ghost,It belongs to the holidays group.,It has 5 letters.,zombie,siren,elf,holidays,math,medium,🎉
"In the words category, this item is very famous. It starts with 'G'.",good,It belongs to the words group.,It ends with 'D'.,slow,next,edge,words,trivia,tricky,🔠
Many kids love this sports. It starts with 'C'. Who am I?,cycling,It belongs to the sports group.,It starts with 'C'.,hurdle,rugby,running,sports,what-am-i,easy,⚽
This is a well-known holidays. My first letter is 'F'.,float,It belongs to the holidays group.,It ends with 'T'.,spotlight,stage,banjo,holidays,what-am-i,tricky,🎉
Subtract 2 from 7 and you get the letter count of this animals.,snake,It belongs to the animals group.,It has 5 letters.,penguin,seal,parrot,animals,math,medium,🐾
My name rhymes with 'xirgo'. I am part of the space family.,virgo,It belongs to the space group.,It starts with 'V'.,blimp,wagon,nebula,space,rhyming,easy,🚀
Count the letters in this animals's name and you get 5. Double that is 10.,whale,It belongs to the animals group.,It has 5 letters.,giraffe,eagle,jellyfish,animals,math,medium,🐾
"If you spell my name backwards, it looks like 'kcolb'.",block,It belongs to the sports group.,It ends with 'K'.,snooker,tetherball,boomerang,sports,wordplay,tricky,⚽
This is a well-known words. My first letter is 'C'.,clean,It belongs to the words group.,It ends with 'N'.,ugly,last,hot,words,what-am-i,tricky,🔠
My name rhymes with 'dee'. I am part of the animals family.,bee,It belongs to the animals group.,It starts with 'B'.,koala,seahorse,owl,animals,rhyming,easy,🐾
"Half of 10 is 5, which is how many letters this silly has.",shirt,It belongs to the silly group.,It ends with 'T'.,bowl,toaster,glove,silly,math,tricky,🤪
Think of a common words. It ends with 'T'. What is it?,wet,It belongs to the words group.,It ends with 'T'.,light,under,edge,words,what-am-i,tricky,🔠
A fun fact about this space is that its name starts with 'L' and ends with 'A'.,libra,It belongs to the space group.,It has 5 letters.,glider,forklift,pulsar,space,trivia,medium,🚀
"If you count up to 41, you will say my name just before 40.",39,It is a number.,It is greater than 38.,40,74,69,math,what-am-i,easy,🧮
You cannot spell this nature without the letter 'M'.,meteor,It belongs to the nature group.,It has 6 letters.,wood,pole,lake,nature,lateral,medium,🌿
You cannot spell this silly without the letter 'M'.,mirror,It belongs to the silly group.,It starts with 'M'.,drawer,iron,lid,silly,lateral,easy,🤪
This holidays is known for having 5 letters in its name.,siren,It belongs to the holidays group.,It starts with 'S'.,flute,banner,zombie,holidays,trivia,easy,🎉
"In the animals category, this item is very famous. It starts with 'A'.",alpaca,It belongs to the animals group.,It starts with 'A'.,rabbit,jellyfish,grasshopper,animals,trivia,easy,🐾
I sound a little bit like the silly word 'fictionary'. I am a school.,dictionary,It belongs to the school group.,It starts with 'D'.,table,report,paper,school,rhyming,easy,✏️
Think of a common space. It ends with 'Y'. What is it?,subway,It belongs to the space group.,It has 6 letters.,wagon,rover,scorpio,space,what-am-i,medium,🚀
"I am a words with exactly 4 letters. My last letter is very important, it is 'E'.",side,It belongs to the words group.,It starts with 'S'.,bottom,left,down,words,lateral,easy,🔠
People often forget I have 5 letters. I am a holidays.,piano,It belongs to the holidays group.,It has 5 letters.,harp,xylophone,viola,holidays,lateral,medium,🎉
Subtract 2 from 11 and you get the letter count of this animals.,jellyfish,It belongs to the animals group.,It starts with 'J'.,pigeon,falcon,salmon,animals,math,easy,🐾
"In the silly category, this item is very famous. It starts with 'J'.",jacket,It belongs to the silly group.,It starts with 'J'.,mixer,bookcase,necklace,silly,trivia,easy,🤪
"If you try to rhyme with me, you might say 'utarfish'. What animals am I?",starfish,It belongs to the animals group.,It starts with 'S'.,bee,cat,gerbil,animals,rhyming,easy,🐾
"If you spell my name backwards, it looks like 'llabkcik'.",kickball,It belongs to the sports group.,It ends with 'L'.,boomerang,scrabble,frisbee,sports,wordplay,tricky,⚽
"Half of 14 is 7, which is how many letters this school has.",janitor,It belongs to the school group.,It ends with 'R'.,textbook,recess,pen,school,math,tricky,✏️
My name rhymes with 'rortal'. I am part of the space family.,portal,It belongs to the space group.,It ends with 'L'.,tram,nebula,carriage,space,rhyming,tricky,🚀
I am the number that comes right after 44. What number am I?,45,It is a number.,It is between 44 and 46.,72,33,44,math,trivia,tricky,🧮
My name rhymes with 'dackgammon'. I am part of the sports family.,backgammon,It belongs to the sports group.,It ends with 'N'.,plane,boxing,pingpong,sports,rhyming,tricky,⚽
"Half of 12 is 6, which is how many letters this words has.",pretty,It belongs to the words group.,It has 6 letters.,awful,strong,far,words,math,medium,🔠
My name rhymes with 'dlind'. I am part of the silly family.,blind,It belongs to the silly group.,It starts with 'B'.,knife,dress,coat,silly,rhyming,easy,🤪
You might see this words around. It has 4 letters in its name. What could it be?,tall,It belongs to the words group.,It has 4 letters.,serious,late,cool,words,what-am-i,medium,🔠
You might see this animals around. It has 8 letters in its name. What could it be?,stingray,It belongs to the animals group.,It starts with 'S'.,shark,cow,monkey,animals,what-am-i,easy,🐾
Mix my letters and you get 'ocrk'. I am a nature.,rock,It belongs to the nature group.,It ends with 'K'.,lake,ocean,universe,nature,wordplay,tricky,🌿
"I am a animals with exactly 5 letters. My last letter is very important, it is 'E'.",mouse,It belongs to the animals group.,It has 5 letters.,hamster,worm,ladybug,animals,lateral,medium,🐾
"Half of 16 is 8, which is how many letters this sports has.",football,It belongs to the sports group.,It starts with 'F'.,softball,baseball,badminton,sports,math,easy,⚽
People often forget I have 5 letters. I am a sports.,plane,It belongs to the sports group.,It ends with 'E'.,fetch,lacrosse,marathon,sports,lateral,tricky,⚽
My name rhymes with 'jyperdrive'. I am part of the space family.,hyperdrive,It belongs to the space group.,It ends with 'E'.,gemini,jupiter,rover,space,rhyming,tricky,🚀
"In the nature category, this item is very famous. It starts with 'U'.",universe,It belongs to the nature group.,It ends with 'E'.,galaxy,waterfall,mountain,nature,trivia,tricky,🌿
Subtract 2 from 7 and you get the letter count of this science.,wedge,It belongs to the science group.,It has 5 letters.,wrench,drill,screw,science,math,medium,🔬
This science is known for having 5 letters in its name.,lever,It belongs to the science group.,It starts with 'L'.,gravity,knee,brush,science,trivia,easy,🔬
Count the letters in this space's name and you get 7. Double that is 14.,jetpack,It belongs to the space group.,It starts with 'J'.,capricorn,tram,ambulance,space,math,easy,🚀
You cannot spell this school without the letter 'P'.,pen,It belongs to the school group.,It starts with 'P'.,janitor,certificate,reading,school,lateral,easy,✏️
"I am a silly with exactly 9 letters. My last letter is very important, it is 'H'.",washcloth,It belongs to the silly group.,It has 9 letters.,dishwasher,jeans,cap,silly,lateral,medium,🤪
My name rhymes with 'clligator'. I am part of the animals family.,alligator,It belongs to the animals group.,It has 9 letters.,crocodile,squirrel,kangaroo,animals,rhyming,medium,🐾
This is a well-known holidays. My first letter is 'S'.,streamer,It belongs to the holidays group.,It has 8 letters.,leprechaun,dj,turntable,holidays,what-am-i,medium,🎉
This silly is known for having 5 letters in its name.,glove,It belongs to the silly group.,It ends with 'E'.,switch,bathtub,comb,silly,trivia,tricky,🤪
This science is known for having 5 letters in its name.,chest,It belongs to the science group.,It ends with 'T'.,bucket,wedge,plasma,science,trivia,tricky,🔬
My name rhymes with 'dingo'. I am part of the sports family.,bingo,It belongs to the sports group.,It starts with 'B'.,dominoes,baseball,puzzle,sports,rhyming,easy,⚽
Subtract 2 from 14 and you get the letter count of this sports.,bodybuilding,It belongs to the sports group.,It has 12 letters.,cricket,frisbee,skateboarding,sports,math,medium,⚽
You cannot spell this silly without the letter 'T'.,tshirt,It belongs to the silly group.,It ends with 'T'.,sweater,blanket,hat,silly,lateral,tricky,🤪
This is a well-known food. My first letter is 'O'.,oatmeal,It belongs to the food group.,It ends with 'L'.,burrito,papaya,apricot,food,what-am-i,tricky,🍎
"In the words category, this item is very famous. It starts with 'G'.",gentle,It belongs to the words group.,It starts with 'G'.,funny,complex,over,words,trivia,easy,🔠
"I am a holidays with exactly 6 letters. My last letter is very important, it is 'N'.",ribbon,It belongs to the holidays group.,It starts with 'R'.,costume,flute,guitar,holidays,lateral,easy,🎉
I am the number that comes right after 10. What number am I?,11,It is a number.,It is between 10 and 12.,31,62,35,math,what-am-i,tricky,🧮
This words is known for having 5 letters in its name.,angry,It belongs to the words group.,It starts with 'A'.,small,wet,dark,words,trivia,easy,🔠
"I am a school with exactly 6 letters. My last letter is very important, it is 'R'.",driver,It belongs to the school group.,It starts with 'D'.,clock,paper,glue,school,lateral,easy,✏️
"Double the number 34 is not me, but half of 34 is!",17,It is a number.,It is between 16 and 18.,28,15,85,math,math,tricky,🧮
Think of a common words. It ends with 'N'. What is it?,open,It belongs to the words group.,It has 4 letters.,corner,side,awful,words,what-am-i,medium,🔠
You cannot spell this space without the letter 'B'.,bulldozer,It belongs to the space group.,It ends with 'R'.,saturn,garbagetruck,taxi,space,lateral,tricky,🚀
Count the letters in this school's name and you get 7. Double that is 14.,writing,It belongs to the school group.,It starts with 'W'.,mousepad,gym,book,school,math,easy,✏️
Mix my letters and you get 'oclfalweriu'. I am a food.,cauliflower,It belongs to the food group.,It starts with 'C'.,banana,icecream,rice,food,wordplay,easy,🍎
Think of a common science. It ends with 'H'. What is it?,tooth,It belongs to the science group.,It ends with 'H'.,brush,saw,atom,science,what-am-i,tricky,🔬
You cannot spell this space without the letter 'C'.,cancer,It belongs to the space group.,It starts with 'C'.,saucer,airplane,monorail,space,lateral,easy,🚀
I sound a little bit like the silly word 'gagle'. I am a animals.,eagle,It belongs to the animals group.,It starts with 'E'.,bee,flamingo,tortoise,animals,rhyming,easy,🐾
My name rhymes with 'jeat'. I am part of the science family.,heat,It belongs to the science group.,It starts with 'H'.,beaker,blood,energy,science,rhyming,easy,🔬
"If you try to rhyme with me, you might say 'uocket'. What silly am I?",socket,It belongs to the silly group.,It starts with 'S'.,bracelet,shelf,toilet,silly,rhyming,easy,🤪
Count the letters in this space's name and you get 9. Double that is 18.,spaceship,It belongs to the space group.,It starts with 'S'.,mars,chariot,hovercraft,space,math,easy,🚀
Subtract 2 from 8 and you get the letter count of this space.,nebula,It belongs to the space group.,It ends with 'A'.,raft,probe,motorcycle,space,math,tricky,🚀
I am the number that comes right after 84. What number am I?,85,It is a number.,It is between 84 and 86.,47,20,63,math,what-am-i,tricky,🧮
